Names,Age,Team,Nationality,Contract Expiration,Page Link,Name ID,Manager ID,Manager Profile
Nuri Şahin,36,Borussia Dortmund,Türkiye,"Jun 30, 2027",https://www.transfermarkt.us/nuri-sahin/profil/trainer/96813,nuri-sahin,96813,https://img.a.transfermarkt.technology/portrait/header/96813-1718279923.jpg?lm=1
Julian Schuster,39,SC Freiburg,Germany,"Jun 30, 2027",https://www.transfermarkt.us/julian-schuster/profil/trainer/61575,julian-schuster,61575,https://img.a.transfermarkt.technology/portrait/header/61575-1723190205.jpg?lm=1
Bo Henriksen,49,1.FSV Mainz 05,UEFA Pro Licence,"Jun 30, 2026",https://www.transfermarkt.us/bo-henriksen/profil/trainer/8524,bo-henriksen,8524,https://img.a.transfermarkt.technology/portrait/header/8524-1708201984.jpg?lm=1
Ralph Hasenhüttl,57,VfL Wolfsburg,Austria,"Jun 30, 2026",https://www.transfermarkt.us/ralph-hasenhuttl/profil/trainer/2300,ralph-hasenhuttl,2300,https://img.a.transfermarkt.technology/portrait/header/2300-1661419096.jpg?lm=1
Sebastian Hoeneß,42,VfB Stuttgart,Germany,"Jun 30, 2027",https://www.transfermarkt.us/sebastian-hoeness/profil/trainer/20940,sebastian-hoeness,20940,https://img.a.transfermarkt.technology/portrait/header/20940-1723706842.jpg?lm=1
Gerardo Seoane,46,Borussia Mönchengladbach,Switzerland,"Jun 30, 2026",https://www.transfermarkt.us/gerardo-seoane/profil/trainer/23817,gerardo-seoane,23817,https://img.a.transfermarkt.technology/portrait/header/23817-1722945930.jpg?lm=1
Bo Svensson,45,1.FC Union Berlin,Denmark,"Jun 30, 2026",https://www.transfermarkt.us/bo-svensson/profil/trainer/35997,bo-svensson,35997,https://img.a.transfermarkt.technology/portrait/header/35997-1726352208.jpg?lm=1
Ole Werner,36,SV Werder Bremen,Germany,"Jun 30, 2026",https://www.transfermarkt.us/ole-werner/profil/trainer/34514,ole-werner,34514,https://img.a.transfermarkt.technology/portrait/header/34514-1712569474.jpg?lm=1
Jess Thorup,54,FC Augsburg,Denmark,"Jun 30, 2026",https://www.transfermarkt.us/jess-thorup/profil/trainer/2898,jess-thorup,2898,https://img.a.transfermarkt.technology/portrait/header/2898-1722851005.jpg?lm=1
Christian Ilzer,47,TSG 1899 Hoffenheim,Austria,"Jun 30, 2026",https://www.transfermarkt.us/christian-ilzer/profil/trainer/4855,christian-ilzer,4855,https://img.a.transfermarkt.technology/portrait/header/4855-1694035513.jpg?lm=1
Alexander Blessin,51,FC St. Pauli,Germany,"Jun 30, 2026",https://www.transfermarkt.us/alexander-blessin/profil/trainer/26099,alexander-blessin,26099,https://img.a.transfermarkt.technology/portrait/header/26099-1723636526.jpeg?lm=1
Frank Schmidt,50,1.FC Heidenheim 1846,Germany,"Jun 30, 2027",https://www.transfermarkt.us/frank-schmidt/profil/trainer/6416,frank-schmidt,6416,https://img.a.transfermarkt.technology/portrait/header/6416-1690186444.jpg?lm=1
Marcel Rapp,45,Holstein Kiel,Germany,"Jun 30, 2026",https://www.transfermarkt.us/marcel-rapp/profil/trainer/24235,marcel-rapp,24235,https://img.a.transfermarkt.technology/portrait/header/24235-1657792957.jpg?lm=1
Dieter Hecking,60,VfL Bochum,Germany,"Jun 30, 2025",https://www.transfermarkt.us/dieter-hecking/profil/trainer/306,dieter-hecking,306,https://img.a.transfermarkt.technology/portrait/header/306-1667895363.jpg?lm=1
